0,"['1073', '1062', '1065', '1122', '1089', '1128', '1058', '1111', '1151', '1041']"
1,"['1074', '1064', '1121', '1130', '1037', '1034', '1195', '1042', '1049']"
2,"['1081', '1259', '1243', '1101', '1162', '1053', '1192']"
3,"['1143', '1072', '1263', '1092', '1255', '1248', '1050', '1118', '1175']"
4,"['1147', '1079', '1091', '1084', '1124', '1254', '1132', '1221', '1038', '1039', '1238', '1187', '1103', '1040', '1048']"
5,"['1063', '1120', '1250', '1223', '1239', '1167', '1194']"
6,"['1157', '1156', '1134', '1245', '1227', '1181']"
7,"['1141', '1148', '1078', '1203', '1052', '1117']"
8,"['1146', '1093', '1098', '1061', '1086', '1131', '1100', '1108', '1057']"
9,"['1144', '1145', '1149', '1096', '1154', '1153', '1068', '1083', '1133', '1225', '1127', '1109', '1114', '1177', '1047', '1045']"
10,"['1266', '1094', '1067', '1066', '1125', '1138', '1230', '1220', '1210', '1214', '1189', '1180', '1106', '1164', '1197']"
11,"['1076', '1069', '1088', '1139', '1240', '1246', '1224', '1126', '1205', '1169', '1112', '1119', '1046']"
12,"['1262', '1268', '1237', '1257', '1234', '1244', '1228', '1200', '1182', '1161', '1163', '1204', '1207', '1158', '1173', '1172', '1270', '1190']"
13,"['1140', '1155', '1085', '1232', '1218', '1165', '1166', '1176']"
14,"['1070', '1252', '1212', '1183', '1206', '1198', '1193', '1115', '1273']"
15,"['1077', '1075', '1123', '1241', '1249', '1222', '1213', '1217', '1102', '1113', '1260', '1170']"
16,"['1097', '1090', '1087', '1032']"
17,"['1271', '1242', '1184', '1105', '1202', '1059', '1110', '1272']"
18,"['1099', '1152', '1137', '1136', '1051', '1055', '1056', '1116', '1150', '1043']"
19,"['1236', '1261', '1235', '1229', '1215', '1219', '1107', '1044', '1191']"
