0,"['1076', '1094', '1063', '1066', '1120', '1088', '1250', '1223', '1239', '1194']"
1,"['1070', '1263', '1157', '1156', '1255', '1252', '1271', '1134', '1245', '1227', '1212', '1184', '1181', '1105', '1206', '1198', '1193', '1110', '1273']"
2,"['1141', '1074', '1121', '1242', '1272']"
3,"['1079', '1077', '1073', '1261', '1235', '1241', '1249', '1222', '1229', '1217', '1215', '1219', '1113', '1260', '1170']"
4,"['1069', '1061', '1086', '1139', '1240', '1224', '1213', '1103', '1100', '1163', '1205', '1169', '1192', '1173']"
5,"['1147', '1097', '1091', '1087', '1084', '1125', '1039', '1032', '1044', '1048']"
6,"['1143', '1140', '1236', '1155', '1062', '1085', '1132', '1248', '1128', '1107', '1058', '1111', '1175']"
7,"['1144', '1145', '1149', '1096', '1154', '1068', '1133', '1137', '1225', '1127', '1109', '1114', '1116', '1047', '1045']"
8,"['1146', '1093', '1098', '1131', '1108', '1057']"
9,"['1099', '1136', '1151', '1043']"
10,"['1148', '1078', '1065', '1122', '1254', '1221', '1038', '1187', '1059', '1041', '1040']"
11,"['1124', '1138', '1238', '1165', '1203', '1051', '1055']"
12,"['1056', '1150', '1049']"
13,"['1262', '1268', '1244', '1218', '1200', '1182', '1166', '1161', '1204', '1202', '1158', '1176', '1172', '1270']"
14,"['1072', '1090', '1092', '1152', '1081', '1126', '1106', '1162', '1050', '1112', '1119', '1118']"
15,"['1230', '1243', '1246', '1220', '1180', '1167', '1053', '1046']"
16,"['1153', '1083', '1177', '1042']"
17,"['1089', '1259', '1232', '1130', '1037', '1101', '1052', '1117']"
18,"['1266', '1067', '1237', '1257', '1234', '1228', '1210', '1214', '1189', '1164', '1207', '1197', '1115', '1191', '1190']"
19,"['1075', '1064', '1123', '1034', '1183', '1102', '1195']"
